"Title","URL"
"Nomadland (2020)","https://letterboxd.com/film/nomadland/"
"Batman v Superman: Dawn of Justice (2016)","https://letterboxd.com/film/batman-v-superman-dawn-of-justice/"
"A Silent Voice: The Movie (2016)","https://letterboxd.com/film/a-silent-voice-the-movie/"
"Before Midnight (2013)","https://letterboxd.com/film/before-midnight/"
"The Girl with the Dragon Tattoo (2011)","https://letterboxd.com/film/the-girl-with-the-dragon-tattoo-2011/"
"Dawn of the Planet of the Apes (2014)","https://letterboxd.com/film/dawn-of-the-planet-of-the-apes/"
"The Talented Mr. Ripley (1999)","https://letterboxd.com/film/the-talented-mr-ripley/"
"The Twilight Saga: Eclipse (2010)","https://letterboxd.com/film/the-twilight-saga-eclipse/"
"Thirteen (2003)","https://letterboxd.com/film/thirteen/"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)","https://letterboxd.com/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/"
"Venom: Let There Be Carnage (2021)","https://letterboxd.com/film/venom-let-there-be-carnage/"
"WandaVision (2021)","https://letterboxd.com/film/wandavision/"
"The Conjuring: Last Rites (2025)","https://letterboxd.com/film/the-conjuring-last-rites/"
"Nobody (2021)","https://letterboxd.com/film/nobody-2021/"
"Amadeus (1984)","https://letterboxd.com/film/amadeus/"
"Thelma & Louise (1991)","https://letterboxd.com/film/thelma-louise/"
"Immaculate (2024)","https://letterboxd.com/film/immaculate-2024/"
"Hamilton (2020)","https://letterboxd.com/film/hamilton-2020/"
"Blue Valentine (2010)","https://letterboxd.com/film/blue-valentine/"
"The Lord of the Rings: The Return of the King (2003)","https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/"
"Brokeback Mountain (2005)","https://letterboxd.com/film/brokeback-mountain/"
"Before Sunrise (1995)","https://letterboxd.com/film/before-sunrise/"
"Spider-Man: Far From Home (2019)","https://letterboxd.com/film/spider-man-far-from-home/"
"Anyone But You (2023)","https://letterboxd.com/film/anyone-but-you/"
"Harry Potter and the Goblet of Fire (2005)","https://letterboxd.com/film/harry-potter-and-the-goblet-of-fire/"
"Bottoms (2023)","https://letterboxd.com/film/bottoms/"
"Thor: Ragnarok (2017)","https://letterboxd.com/film/thor-ragnarok/"
"1917 (2019)","https://letterboxd.com/film/1917/"
"Toy Story (1995)","https://letterboxd.com/film/toy-story/"
"Iron Man (2008)","https://letterboxd.com/film/iron-man-2008/"
"Lost in Translation (2003)","https://letterboxd.com/film/lost-in-translation/"
"Zodiac (2007)","https://letterboxd.com/film/zodiac/"
"The Incredibles (2004)","https://letterboxd.com/film/the-incredibles/"
"Oldboy (2003)","https://letterboxd.com/film/oldboy/"
"Twilight (2008)","https://letterboxd.com/film/twilight-2008/"
"Moonlight (2016)","https://letterboxd.com/film/moonlight-2016/"
"The Lord of the Rings: The Two Towers (2002)","https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/"
"Harry Potter and the Chamber of Secrets (2002)","https://letterboxd.com/film/harry-potter-and-the-chamber-of-secrets/"
"How to Lose a Guy in 10 Days (2003)","https://letterboxd.com/film/how-to-lose-a-guy-in-10-days/"
"The Prestige (2006)","https://letterboxd.com/film/the-prestige/"
"The Hunger Games: Catching Fire (2013)","https://letterboxd.com/film/the-hunger-games-catching-fire/"
"Puss in Boots: The Last Wish (2022)","https://letterboxd.com/film/puss-in-boots-the-last-wish/"
"Finding Nemo (2003)","https://letterboxd.com/film/finding-nemo/"
"Monsters, Inc. (2001)","https://letterboxd.com/film/monsters-inc/"
"Tangled (2010)","https://letterboxd.com/film/tangled-2010/"
"Doctor Strange in the Multiverse of Madness (2022)","https://letterboxd.com/film/doctor-strange-in-the-multiverse-of-madness/"
"The Hunger Games: The Ballad of Songbirds & Snakes (2023)","https://letterboxd.com/film/the-hunger-games-the-ballad-of-songbirds-snakes/"
"Beautiful Boy (2018)","https://letterboxd.com/film/beautiful-boy-2018/"
"Dunkirk (2017)","https://letterboxd.com/film/dunkirk-2017/"
"Mulholland Drive (2001)","https://letterboxd.com/film/mulholland-drive/"
"Spider-Man 2 (2004)","https://letterboxd.com/film/spider-man-2/"
"Uncut Gems (2019)","https://letterboxd.com/film/uncut-gems/"
"Nightcrawler (2014)","https://letterboxd.com/film/nightcrawler/"
"Portrait of a Lady on Fire (2019)","https://letterboxd.com/film/portrait-of-a-lady-on-fire/"
"Princess Mononoke (1997)","https://letterboxd.com/film/princess-mononoke/"
"12 Angry Men (1957)","https://letterboxd.com/film/12-angry-men/"
"Captain America: Civil War (2016)","https://letterboxd.com/film/captain-america-civil-war/"
"Batman Begins (2005)","https://letterboxd.com/film/batman-begins/"
"A Quiet Place (2018)","https://letterboxd.com/film/a-quiet-place-2018/"
