label,precision,recall,f1,support,TP,FP,FN,TN
spooky,0.0,0.0,0.0,55,0,0,55,1955
scary comedy,0.0,0.0,0.0,55,0,0,55,1955
epic history and literature,0.0,0.0,0.0,52,0,0,52,1958
dazzling vocal performances and musicals,0.0,0.0,0.0,52,0,0,52,1958
exciting spy thrillers with tense intrigue,0.0,0.0,0.0,50,0,0,50,1960
brutal,0.0,0.0,0.0,47,0,0,47,1963
violent prison drama,0.0,0.0,0.0,47,0,0,47,1963
imaginative space odysseys and alien encounters,0.0,0.0,0.0,47,0,1,47,1962
racism and the powerful fight for justice,0.0,0.0,0.0,45,0,0,45,1965
patriotism,0.0,0.0,0.0,42,0,0,42,1968
political drama,0.0,0.0,0.0,42,0,0,42,1968
and war,0.0,0.0,0.0,42,0,0,42,1968
riveting political and presidential drama,0.0,0.0,0.0,41,0,0,41,1969
fascinating,0.0,0.0,0.0,41,0,0,41,1969
tragic sadness and captivating beauty,0.0,0.0,0.0,41,0,0,41,1969
emotional stories and documentaries,0.0,0.0,0.0,41,0,0,41,1969
chilling experiments and classic monster horror,0.0,0.0,0.0,40,0,0,40,1970
faith and religion,0.0,0.0,0.0,40,0,0,40,1970
emotional life of renowned artists,0.0,0.0,0.0,37,0,0,37,1973
tv movie,0.0,0.0,0.0,36,0,0,36,1974
survival horror and zombie carnage,0.0,0.0,0.0,36,0,0,36,1974
nazis and world war ii,1.0,0.02857142857142857,0.05555555555555556,35,1,0,34,1975
epic adventure and breathtaking battles,0.0,0.0,0.0,33,0,0,33,1977
dangerous technology and the apocalypse,0.0,0.0,0.0,31,0,0,31,1979
bloody vampire horror,0.0,0.0,0.0,31,0,0,31,1979
and political documentaries,0.0,0.0,0.0,29,0,0,29,1981
politics,0.0,0.0,0.0,29,0,0,29,1981
legendary musicians and stardom,0.0,0.0,0.0,29,0,0,29,1981
propaganda,0.0,0.0,0.0,29,0,0,29,1981
dance rhythms and catchy tunes,0.0,0.0,0.0,28,0,0,28,1982
inspiring sports underdog stories,0.0,0.0,0.0,28,0,0,28,1982
sin,0.0,0.0,0.0,26,0,0,26,1984
and forgiveness,0.0,0.0,0.0,26,0,0,26,1984
religious faith,0.0,0.0,0.0,26,0,0,26,1984
disastrous voyages and heroic survival,0.0,0.0,0.0,25,0,0,25,1985
bravery in war,0.0,0.0,0.0,25,0,0,25,1985
western,0.0,0.0,0.0,24,0,0,24,1986
westerns,0.0,0.0,0.0,24,0,0,24,1986
humanity's odyssey: earth and beyond,0.0,0.0,0.0,22,0,0,22,1988
captivating vision and shakespearean drama,0.0,0.0,0.0,21,0,0,21,1989
wild west outlaws and gunfights,0.0,0.0,0.0,20,0,0,20,1990
sci-fi monster and dinosaur adventures,1.0,0.05555555555555555,0.10526315789473684,18,1,0,17,1992
underdog fighting and boxing stories,0.0,0.0,0.0,17,0,0,17,1993
faith and spiritual journeys,0.0,0.0,0.0,17,0,0,17,1993
western frontier dramas with a touch of humor,0.0,0.0,0.0,14,0,0,14,1996
air pilot heroism and survival,0.0,0.0,0.0,14,0,0,14,1996
bollywood emotional dramas,0.0,0.0,0.0,12,0,0,12,1998
lavish dramas and sumptuous royalty,0.0,0.0,0.0,10,0,0,10,2000
extreme gory horror and cannibalism,0.0,0.0,0.0,4,0,0,4,2006
teen friendship and coming-of-age,0.0,0.0,0.0,3,0,0,3,2007
intense crime and casino drama,0.0,0.0,0.0,2,0,0,2,2008
engaging,0.0,0.0,0.0,2,0,0,2,2008
