true,pred,count
gruesome,gory,16
gruesome,gruesome,16
and slasher horror,and slasher horror,16
and slasher horror,gory,16
and slasher horror,gruesome,16
faith and spiritual journeys,drama,15
thriller,the undead and monster classics,15
superheroes in action-packed battles with villains,thriller,15
dazzling vocal performances and musicals,comedy,15
gothic and eerie haunting horror,thriller,15
gothic and eerie haunting horror,twisted dark psychological thriller,15
laugh-out-loud relationship entanglements,romance,15
epic heroes,science fiction,15
explosive and action-packed heroes vs. villains,comedy,15
exciting spy thrillers with tense intrigue,action,15
action,epic heroes,15
epic heroes,epic heroes,15
sci-fi horror,the undead and monster classics,14
creatures,the undead and monster classics,14
and aliens,the undead and monster classics,14
comedy,moving relationship stories,14
charming romances and delightful chemistry,romance,14
animation,action,14
monsters,action,14
aliens,action,14
sci-fi and the apocalypse,action,14
heists and thrilling action,comedy,14
graphic violence and brutal revenge,horror,14
intense violence and sexual transgression,crime,13
quirky and endearing relationships,crude humor and satire,13
humanity and the world around us,comedy,13
captivating relationships and charming romance,comedy,13
imaginative space odysseys and alien encounters,drama,13
disastrous voyages and heroic survival,drama,13
creepy,twisted dark psychological thriller,13
chilling,twisted dark psychological thriller,13
and terrifying horror,twisted dark psychological thriller,13
student coming-of-age challenges,comedy,13
quirky and endearing relationships,romance,13
adrenaline-fueled action and fast cars,comedy,13
drama,horror,13
mystery,the undead and monster classics,13
fantasy,adventure,13
captivating relationships and charming romance,moving relationship stories,13
terrifying,and slasher horror,13
terrifying,gory,13
terrifying,gruesome,13
haunted,and slasher horror,13
haunted,gory,13
haunted,gruesome,13
and supernatural horror,and slasher horror,13
and supernatural horror,gory,13
and supernatural horror,gruesome,13
brutal,crime,12
violent prison drama,crime,12
thriller,twisted dark psychological thriller,12
captivating relationships and charming romance,romance,12
passion and romance,romance,12
touching and sentimental family stories,romance,12
chilling experiments and classic monster horror,drama,12
action comedy and silly heroics,thriller,12
crude humor and satire,horror,12
surreal and thought-provoking visions of life and death,comedy,12
comedy,and slapstick humor,12
comedy,gags,12
comedy,jokes,12
crude humor and satire,and slapstick humor,12
crude humor and satire,gags,12
crude humor and satire,jokes,12
gags,and slapstick humor,12
gags,gags,12
gags,jokes,12
jokes,and slapstick humor,12
jokes,gags,12
jokes,jokes,12
and slapstick humor,and slapstick humor,12
and slapstick humor,gags,12
and slapstick humor,jokes,12
western frontier dramas with a touch of humor,drama,12
dangerous technology and the apocalypse,science fiction,12
fantasy,fantasy,12
underdog fighting and boxing stories,drama,12
intense political and terrorist thrillers,thriller,12
intense violence and sexual transgression,the undead and monster classics,12
creepy,comedy,12
chilling,comedy,12
and terrifying horror,comedy,12
bollywood emotional dramas,drama,12
mystery,twisted dark psychological thriller,12
explosive and action-packed heroes vs. villains,crime,12
sci-fi horror,comedy,12
creatures,comedy,12
and aliens,comedy,12
passion and romance,moving relationship stories,12
drugs and gangsters,action,12
gritty crime and ruthless gangsters,action,12
creepy,and slasher horror,12
creepy,gory,12
creepy,gruesome,12
chilling,and slasher horror,12
chilling,gory,12
chilling,gruesome,12
and terrifying horror,and slasher horror,12
and terrifying horror,gory,12
and terrifying horror,gruesome,12
gothic and eerie haunting horror,and slasher horror,12
gothic and eerie haunting horror,gory,12
gothic and eerie haunting horror,gruesome,12
spooky,drama,11
scary comedy,drama,11
romance,crude humor and satire,11
family,adventure,11
epic heroes,adventure,11
humanity and the world around us,moving relationship stories,11
heartbreaking and moving family drama,comedy,11
creepy,thriller,11
chilling,thriller,11
and terrifying horror,thriller,11
animation,animation,11
amusing jokes and witty satire,and slapstick humor,11
amusing jokes and witty satire,gags,11
amusing jokes and witty satire,jokes,11
action comedy and silly heroics,crude humor and satire,11
superheroes in action-packed battles with villains,epic heroes,11
monsters,comedy,11
aliens,comedy,11
sci-fi and the apocalypse,comedy,11
family,family,11
fantasy,horror,11
war and historical adventure,action,10
humanity's odyssey: earth and beyond,science fiction,10
air pilot heroism and survival,drama,10
survival horror and zombie carnage,the undead and monster classics,10
sci-fi horror,science fiction,10
creatures,science fiction,10
and aliens,science fiction,10
animation,adventure,10
passion and romance,comedy,10
spooky,horror,10
scary comedy,horror,10
powerful stories of heartbreak and suffering,romance,10
monsters,horror,10
aliens,horror,10
sci-fi and the apocalypse,horror,10
enduring stories of family and marital drama,moving relationship stories,10
emotional and captivating fantasy storytelling,comedy,10
drama,touching and sentimental family stories,10
funny jokes and crude humor,and slapstick humor,10
funny jokes and crude humor,gags,10
funny jokes and crude humor,jokes,10
thriller,science fiction,10
epic heroes,crime,10
challenging or sexual themes & twists,horror,10
thrillers and murder mysteries,horror,10
action,adventure,10
superheroes in action-packed battles with villains,adventure,10
twisted dark psychological thriller,and supernatural horror,10
twisted dark psychological thriller,haunted,10
twisted dark psychological thriller,terrifying,10
animation,family,10
lavish dramas and sumptuous royalty,drama,10
high speed and special ops,crime,10
heists and thrilling action,action,10
bloody vampire horror,horror,10
graphic violence and brutal revenge,thriller,10
military combat and heroic soldiers,action,9
drama,science fiction,9
mystery,crime,9
horror,crime,9
sci-fi horror,thriller,9
creatures,thriller,9
and aliens,thriller,9
quirky and endearing relationships,moving relationship stories,9
survival horror and zombie carnage,drama,9
emotional teen coming-of-age stories,romance,9
gags,horror,9
jokes,horror,9
and slapstick humor,horror,9
action-packed space and alien sagas,comedy,9
intense violence and sexual transgression,comedy,9
crude humor and satire,romance,9
gags,romance,9
jokes,romance,9
and slapstick humor,romance,9
moving relationship stories,touching and sentimental family stories,9
humanity's odyssey: earth and beyond,drama,9
intense combat and martial arts,epic heroes,9
emotional lgbtq relationships,moving relationship stories,9
fantasy adventure,comedy,9
heroism,comedy,9
and swordplay,comedy,9
bloody vampire horror,drama,9
dreamlike,comedy,9
quirky,comedy,9
and surreal storytelling,comedy,9
noir and dark crime dramas,crime,9
horror,and terrifying horror,9
horror,chilling,9
horror,creepy,9
dance rhythms and catchy tunes,comedy,9
tv movie,comedy,9
horror,action,9
enduring stories of family and marital drama,comedy,9
bravery in war,action,8
twisted dark psychological thriller,crime,8
violent crime and drugs,thriller,8
chilling experiments and classic monster horror,the undead and monster classics,8
the undead and monster classics,science fiction,8
kids' animated fun and adventure,adventure,8
dangerous technology and the apocalypse,drama,8
kids' animated fun and adventure,crude humor and satire,8
science fiction,adventure,8
funny jokes and crude humor,action,8
comedy,the undead and monster classics,8
crime,crude humor and satire,8
catchy songs and hilarious musical comedy,and slapstick humor,8
catchy songs and hilarious musical comedy,gags,8
catchy songs and hilarious musical comedy,jokes,8
military combat and heroic soldiers,thriller,8
exciting spy thrillers with tense intrigue,comedy,8
family,fantasy,8
fairy-tale fantasy and enchanted magic,fantasy,8
adventure,epic heroes,8
dangerous technology and the apocalypse,action,8
mystery,and supernatural horror,8
mystery,haunted,8
mystery,terrifying,8
fairy-tale fantasy and enchanted magic,adventure,8
adorable animals and heartwarming families,adventure,8
erotic relationships and desire,moving relationship stories,8
intense violence and sexual transgression,twisted dark psychological thriller,8
adrenaline-fueled action and fast cars,crime,8
horror,mystery,8
horror,gothic and eerie haunting horror,8
twisted dark psychological thriller,and slasher horror,8
twisted dark psychological thriller,gory,8
twisted dark psychological thriller,gruesome,8
touching and sentimental family stories,touching and sentimental family stories,8
fantasy adventure,adventure,8
heroism,adventure,8
and swordplay,adventure,8
emotional lgbtq relationships,comedy,7
science fiction,aliens,7
science fiction,monsters,7
science fiction,sci-fi and the apocalypse,7
monsters,aliens,7
monsters,monsters,7
monsters,sci-fi and the apocalypse,7
aliens,aliens,7
aliens,monsters,7
aliens,sci-fi and the apocalypse,7
sci-fi and the apocalypse,aliens,7
sci-fi and the apocalypse,monsters,7
sci-fi and the apocalypse,sci-fi and the apocalypse,7
thought-provoking sci-fi action and future technology,thriller,7
survival horror and zombie carnage,comedy,7
adventure,crude humor and satire,7
adventure,animation,7
fantasy,animation,7
amusing jokes and witty satire,action,7
erotic relationships and desire,romance,7
crude humor and satire,thriller,7
gags,thriller,7
jokes,thriller,7
and slapstick humor,thriller,7
funny jokes and crude humor,horror,7
intense combat and martial arts,comedy,7
emotional and touching family dramas,touching and sentimental family stories,7
action comedy and silly heroics,and slapstick humor,7
action comedy and silly heroics,gags,7
action comedy and silly heroics,jokes,7
war and historical adventure,thriller,7
thrillers and murder mysteries,twisted dark psychological thriller,7
thrillers and murder mysteries,comedy,7
science fiction,the undead and monster classics,7
science fiction,epic heroes,7
action comedy and silly heroics,epic heroes,7
adventure,family,7
violent action,comedy,7
guns,comedy,7
and crime,comedy,7
sci-fi monster and dinosaur adventures,action,7
intriguing and suspenseful murder mysteries,crime,7
brutal,action,7
violent prison drama,action,7
intense combat and martial arts,thriller,7
suspenseful crime thrillers,comedy,7
brutal,thriller,7
violent prison drama,thriller,7
imaginative space odysseys and alien encounters,action,7
sci-fi monster and dinosaur adventures,science fiction,7
powerful stories of heartbreak and suffering,touching and sentimental family stories,7
explosive and action-packed heroes vs. villains,epic heroes,7
emotional and captivating fantasy storytelling,adventure,7
humanity and the world around us,science fiction,6
mystery,mystery,6
charming romances and delightful chemistry,crude humor and satire,6
thriller,and supernatural horror,6
thriller,haunted,6
thriller,terrifying,6
horror,action-packed space and alien sagas,6
horror,aliens,6
horror,monsters,6
horror,sci-fi and the apocalypse,6
monsters,thriller,6
aliens,thriller,6
sci-fi and the apocalypse,thriller,6
relationship comedy,moving relationship stories,6
underdogs and coming of age,moving relationship stories,6
family,crude humor and satire,6
funny jokes and crude humor,thriller,6
thought-provoking sci-fi action and future technology,horror,6
thought-provoking sci-fi action and future technology,comedy,6
funny jokes and crude humor,romance,6
romance,touching and sentimental family stories,6
intriguing and suspenseful murder mysteries,comedy,6
war,war,6
war and historical adventure,war,6
military combat and heroic soldiers,war,6
politics and human rights,thriller,6
intense political and terrorist thrillers,action,6
action,superheroes in action-packed battles with villains,6
epic heroes,superheroes in action-packed battles with villains,6
superheroes in action-packed battles with villains,superheroes in action-packed battles with villains,6
chilling experiments and classic monster horror,comedy,6
comedy,thriller,6
family,animation,6
adventure,fantasy,6
animation,fantasy,6
kids' animated fun and adventure,family,6
holiday joy and heartwarming christmas,family,6
emotional lgbtq relationships,romance,6
bloody vampire horror,comedy,6
fantasy,science fiction,6
sci-fi horror,action,6
creatures,action,6
and aliens,action,6
disastrous voyages and heroic survival,action,6
high speed and special ops,science fiction,6
emotional and touching family dramas,romance,6
historical battles and epic heroism,action,6
epic adventure and breathtaking battles,action,6
violent crime and drugs,action,6
action-packed space and alien sagas,aliens,6
action-packed space and alien sagas,monsters,6
action-packed space and alien sagas,sci-fi and the apocalypse,6
thriller,and slasher horror,6
thriller,gory,6
thriller,gruesome,6
intense violence and sexual transgression,and supernatural horror,6
intense violence and sexual transgression,haunted,6
intense violence and sexual transgression,terrifying,6
mystery,and slasher horror,6
mystery,gory,6
mystery,gruesome,6
heartbreaking and moving family drama,touching and sentimental family stories,6
high speed and special ops,epic heroes,6
thriller,epic heroes,6
crime,epic heroes,6
tragic sadness and captivating beauty,moving relationship stories,6
crude humor and satire,crime,5
documentary,documentary,5
sci-fi horror,aliens,5
sci-fi horror,monsters,5
sci-fi horror,sci-fi and the apocalypse,5
creatures,aliens,5
creatures,monsters,5
creatures,sci-fi and the apocalypse,5
and aliens,aliens,5
and aliens,monsters,5
and aliens,sci-fi and the apocalypse,5
comedy,adventure,5
laugh-out-loud relationship entanglements,moving relationship stories,5
charming romances and delightful chemistry,moving relationship stories,5
erotic relationships and desire,comedy,5
dangerous technology and the apocalypse,thriller,5
imaginative space odysseys and alien encounters,horror,5
crude humor and satire,the undead and monster classics,5
comedy,laugh-out-loud relationship entanglements,5
relationship comedy,laugh-out-loud relationship entanglements,5
laugh-out-loud relationship entanglements,laugh-out-loud relationship entanglements,5
quirky and endearing relationships,laugh-out-loud relationship entanglements,5
comedy,science fiction,5
crude humor and satire,science fiction,5
fantasy adventure,science fiction,5
heroism,science fiction,5
and swordplay,science fiction,5
explosive and action-packed heroes vs. villains,science fiction,5
nazis and world war ii,war,5
erotic relationships and desire,horror,5
kids' animated fun and adventure,fantasy,5
politics and human rights,action,5
thrillers and murder mysteries,the undead and monster classics,5
science fiction,superheroes in action-packed battles with villains,5
fantasy,family,5
fairy-tale fantasy and enchanted magic,family,5
holiday joy and heartwarming christmas,adventure,5
intriguing and suspenseful murder mysteries,twisted dark psychological thriller,5
drama,war,5
animation,science fiction,5
kids' animated fun and adventure,action,5
terrifying,and terrifying horror,5
terrifying,chilling,5
terrifying,creepy,5
haunted,and terrifying horror,5
haunted,chilling,5
haunted,creepy,5
and supernatural horror,and terrifying horror,5
and supernatural horror,chilling,5
and supernatural horror,creepy,5
creepy,and terrifying horror,5
creepy,chilling,5
creepy,creepy,5
chilling,and terrifying horror,5
chilling,chilling,5
chilling,creepy,5
and terrifying horror,and terrifying horror,5
and terrifying horror,chilling,5
and terrifying horror,creepy,5
bloody vampire horror,the undead and monster classics,5
graphic violence and brutal revenge,crime,5
twisted dark psychological thriller,mystery,5
gripping,thriller,5
intense violent crime,thriller,5
war,thriller,5
sci-fi horror,and slasher horror,5
sci-fi horror,gory,5
sci-fi horror,gruesome,5
creatures,and slasher horror,5
creatures,gory,5
creatures,gruesome,5
and aliens,and slasher horror,5
and aliens,gory,5
and aliens,gruesome,5
drugs and gangsters,comedy,5
